names	starkcount
RIMPA0135.2	0
RIMPA0135.3	0
RIMPA0135.4	1
RIMPA0135.5	2
RIMPA0135.8	2
RIMPA0135.9	0
RIMPA0142.11	0
RIMPA0142.12	0
RIMPA0142.13	1
RIMPA0142.14	0
RIMPA0142.1	0
RIMPA0142.2	4
RIMPA0142.3	1
RIMPA0142.4	3
RIMPA0142.6	0
RIMPA0142.7	2
RIMPA0142.8	0
RIMPA0142.9	0
RITD0001.1	4
